GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
100462977,MTRNR2L1,3.972,2.428
26664,OR7C1,1.903,1.934
102723506,LOC102723506,1.796,2.652
29881,NPC1L1,1.764,1.959
105378345,LOC105378345,1.652,2.353
101928465,SLCO4A1-AS2,1.619,1.971
3303,HSPA1A,1.596,2.102
3304,HSPA1B,1.505,1.962
112268426,LOC112268426,1.495,2.003
4318,MMP9,1.472,1.742
100462983,MTRNR2L3,1.47,1.748
3575,IL7R,1.469,1.427
7852,CXCR4,1.421,1.855
339256,NOS2P3,1.387,1.956
8190,MIA,1.352,1.706
100144604,LINC00930,1.346,2.127
105378644,LOC105378644,1.321,2.17
402573,SPACDR,1.294,1.761
105371401,LOC105371401,1.29,1.724
2118,ETV4,1.272,1.853
2570,GABRR2,1.252,1.869
152573,SHISA3,1.25,1.488
151648,SGO1,1.247,1.833
55561,CDC42BPG,1.218,1.812
112268295,LOC112268295,1.199,1.77
105375676,LOC105375676,1.198,1.502
140876,RIPOR3,1.186,1.722
93649,MYOCD,1.183,1.902
107985430,LOC107985430,1.169,1.322
23460,ABCA6,1.148,1.327
348645,MIR3667HG,1.137,1.805
8793,TNFRSF10D,1.126,1.802
105377443,LINC02172,1.119,1.434
23704,KCNE4,1.117,1.65
100463482,MTRNR2L6,1.098,1.421
102723461,LOC102723461,1.097,1.477
3004,GZMM,1.084,1.517
84734,FAM167B,1.081,1.662
2303,FOXC2,1.077,1.755
1842,ECM2,1.075,1.408
51751,HIGD1B,1.048,1.874
105372631,LOC105372631,1.043,1.348
105373975,LOC105373975,1.037,1.934
6539,SLC6A12,1.037,2.256
692247,LMNTD2-AS1,1.033,1.934
101928156,LOC101928156,1.029,1.934
4569,TRNM,1.003,1.32
101927167,GATA2-AS1,0.994,1.787
28231,SLCO4A1,0.988,1.61
6275,S100A4,0.983,1.748
107984868,LOC107984868,0.977,2.256
92922,CCDC102A,0.97,2.132
2294,FOXF1,0.97,1.648
5623,PSPN,0.957,1.791
9620,CELSR1,0.949,1.437
6525,SMTN,0.945,2.102
112268235,LOC112268235,0.934,1.455
102546175,LINC01338,0.934,1.512
4303,FOXO4,0.933,2.203
24146,CLDN15,0.927,2.17
6939,TCF15,0.927,1.938
5345,SERPINF2,0.922,1.737
7475,WNT6,0.92,1.327
26266,SLC13A4,0.919,2.132
2529,FUT7,0.907,1.762
404216,LINC01561,0.905,1.44
23764,MAFF,0.899,1.425
27286,SRPX2,0.893,1.813
2696,GIPR,0.891,1.331
79844,ZDHHC11,0.889,2.842
6913,TBX15,0.886,1.441
8557,TCAP,0.886,1.4
116535,MRGPRF,0.879,1.644
135,ADORA2A,0.877,1.962
100316904,SAP25,0.874,1.754
387849,REP15,0.874,1.454
102238594,SPACA6-AS1,0.872,1.934
151,ADRA2B,0.871,1.787
107985556,LOC107985556,0.87,1.523
26784,SNORA64,0.863,2.139
646023,ADORA2A-AS1,0.862,1.959
151534,LBX2-AS1,0.861,1.58
8698,S1PR4,0.86,1.358
56245,C21orf62,0.853,1.322
1244,ABCC2,0.847,1.877
729359,PLIN4,0.844,2.154
151295,SLC23A3,0.843,1.425
9322,TRIP10,0.839,1.898
8463,TEAD2,0.835,1.547
283932,FBXL19-AS1,0.832,1.742
199786,NIBAN3,0.831,2.439
5549,PRELP,0.83,1.611
25959,KANK2,0.829,2.03
8326,FZD9,0.828,1.813
83959,SLC4A11,0.827,1.617
440359,YBX3P1,0.826,1.476
646892,SH2D7,0.824,1.617
2176,FANCC,0.822,2.842
6899,TBX1,0.821,1.766
105379326,LOC105379326,0.814,1.332
441307,PDGFA-DT,0.811,2.345
54541,DDIT4,0.811,1.515
6697,SPR,0.808,1.613
4487,MSX1,0.804,1.458
100288637,LOC100288637,0.803,1.54
1056,CEL,0.802,1.596
150946,GAREM2,0.8,1.82
653082,ZDHHC11B,0.8,2.154
94121,SYTL4,0.795,1.315
126520,PLK5,0.792,1.69
100507103,LINC02937,0.785,2.276
1843,DUSP1,0.782,1.434
122664,TPPP2,0.782,1.374
101930370,GALNT7-DT,0.773,2.842
107984913,LOC107984913,0.768,1.476
26119,LDLRAP1,0.767,1.648
11030,RBPMS,0.766,1.991
158830,CXorf65,0.764,1.426
89839,ARHGAP11B,0.763,1.742
677777,SCARNA12,0.761,1.427
79935,CCNP,0.753,1.348
105371480,LOC105371480,0.752,1.361
339210,C17orf67,0.751,1.766
26524,LATS2,0.749,1.476
10749,KIF1C,0.749,1.556
196872,LINC00638,0.747,1.396
105375564,ZNF775-AS1,0.746,1.539
22801,ITGA11,0.746,2.475
339366,ADAMTSL5,0.746,1.544
10411,RAPGEF3,0.743,2.203
107987098,LOC107987098,0.741,1.724
9767,JADE3,0.737,1.557
3481,IGF2,0.736,1.456
57101,ANO2,0.734,1.515
1052,CEBPD,0.733,1.542
6911,TBX6,0.733,1.92
51477,ISYNA1,0.733,1.833
102724009,KIF1C-AS1,0.726,1.437
1109,AKR1C4,0.721,1.315
4604,MYBPC1,0.721,1.561
284359,IZUMO1,0.719,1.959
723961,INS-IGF2,0.715,1.404
91369,ANKRD40,0.711,1.766
220441,RNF152,0.711,1.766
340602,EZHIP,0.711,1.338
107985246,CSRP1-AS1,0.71,1.614
58526,MID1IP1,0.709,1.594
644050,LINC01529,0.708,1.635
101927043,EPCAM-DT,0.707,1.363
100874278,ERI3-IT1,0.705,1.804
112267891,LOC112267891,0.704,1.363
100874211,MID1IP1-AS1,0.704,1.315
4038,LRP4,0.7,1.613
85027,SMIM3,0.699,1.742
7352,UCP3,0.693,1.802
105371115,LOC105371115,0.692,1.426
85450,ITPRIP,0.69,1.303
3017,H2BC5,0.688,1.441
105373255,LOC105373255,0.686,1.556
23210,JMJD6,0.686,1.535
23034,SAMD4A,0.684,1.501
147650,SPACA6,0.682,1.832
6608,SMO,0.672,1.512
6536,SLC6A9,0.671,1.717
26064,RAI14,0.67,1.577
80332,ADAM33,0.67,1.539
10365,KLF2,0.669,1.327
9448,MAP4K4,0.668,1.322
85360,SYDE1,0.663,1.524
4776,NFATC4,0.662,1.812
5251,PHEX,0.662,1.343
3707,ITPKB,0.661,2.127
27106,ARRDC2,0.657,1.432
100128071,FAM229A,0.656,1.394
92154,MTSS2,0.656,1.945
1435,CSF1,0.655,1.485
256329,LMNTD2,0.649,1.594
100271849,MEF2B,0.648,1.433
101730217,SPECC1L-ADORA2A,0.646,1.813
196051,PLPP4,0.645,1.333
6599,SMARCC1,0.644,1.964
84733,CBX2,0.644,1.636
130132,RFTN2,0.642,1.32
11173,ADAMTS7,0.642,1.515
85407,NKD1,0.642,1.593
92312,MEX3A,0.641,1.385
4176,MCM7,0.641,1.478
1031,CDKN2C,0.64,1.526
85301,COL27A1,0.639,1.791
114108587,ATF7-NPFF,0.636,1.829
56288,PARD3,0.635,1.596
9509,ADAMTS2,0.631,1.568
154043,CNKSR3,0.631,1.398
107985320,LOC107985320,0.631,1.336
7164,TPD52L1,0.627,1.436
1104,RCC1,0.626,1.635
23493,HEY2,0.62,1.418
5860,QDPR,0.617,1.597
3092,HIP1,0.615,1.512
