GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0005515	protein binding	0.000003003573118848675	0.000003003573118848675	+1	NPC1L1,HSPA1A,HSPA1B,MMP9,IL7R,CXCR4,ETV4,SHISA3,SGO1,CDC42BPG,RIPOR3,MYOCD,TNFRSF10D,KCNE4,GZMM,FOXC2,ECM2,SLC6A12,SLCO4A1,S100A4,PSPN,SMTN,FOXO4,CLDN15,SERPINF2,WNT6,SLC13A4,FUT7,MAFF,SRPX2,GIPR,ZDHHC11,TBX15,TCAP,ADORA2A,REP15,ADRA2B,SNORA64,S1PR4,C21ORF62,ABCC2,TRIP10,TEAD2,NIBAN3,KANK2,FZD9,SLC4A11,FANCC,TBX1,DDIT4,MSX1,CEL,SYTL4,DUSP1,TPPP2,LDLRAP1,RBPMS,ARHGAP11B,C17ORF67,LATS2,KIF1C,ITGA11,RAPGEF3,JADE3,IGF2,ANO2,CEBPD,TBX6,ISYNA1,MYBPC1,IZUMO1,ANKRD40,RNF152,EZHIP,MID1IP1,LRP4,SMIM3,UCP3,ITPRIP,H2BC5,JMJD6,SAMD4A,SPACA6,SMO,RAI14,ADAM33,KLF2,MAP4K4,NFATC4,PHEX,ITPKB,ARRDC2,MTSS2,CSF1,LMNTD2,MEF2B,PLPP4,SMARCC1,CBX2,RFTN2,ADAMTS7,NKD1,MCM7,CDKN2C,PARD3,CNKSR3,TPD52L1,RCC1,HEY2,HIP1,PROSER2,COBL,KIAA1958,TNS1,FAM118A,MORC4,FAM107A,WTIP,ARHGEF16,FYCO1,GNRH1,SSC5D,ZNF467,MAFK,RELA,CEBPB,PHF21B,FOXF2,FLT3LG,EVA1B,ITIH2,JDP2,MAPKAPK2,POGK,HMBOX1,SERTAD1,ADRA2C,PCOLCE,DHFR,HSPB2,CASC3,NFKBIA,KLHL17,ZBTB47,CTDSP2,QRICH2,TCF7L1,EDA,CNKSR1,CARHSP1,TJP3,SOX13,DOT1L,NIBAN2,MCM8,CGN,GDF11,CCDC40,NFATC3,LCAT,TEPSIN,CXCR5,HIC1,TNIP2,FAM53B,PHF19,PHF10,LLGL2,KMT5C,PHF21A,ASCL1,CRTAP,CAVIN1,FBXL7,TNFRSF10B,DENND2A,ZNF768,PRSS53,GAS1,PPFIBP2,INPPL1,SZRD1,MXD4,DHX34,GLIS2,MRAS,HEBP2,F10,TMEM216,AXIN1,TRIM56,SLC26A6,SORBS3,ZNF704,SRGAP1,SLC43A1,PLXNB1,PIDD1,CAPN15,WWC3,MICALL2,BMP1,MLYCD,RBM6,EBF4,ZNF618,TAFAZZIN,VEGFB,MARVELD3,TCF3,CTU1,IRAK2,SMAD7,SH2B2,SIRT7,RGS3,PAN2,CEP104,HDAC1,FCHSD2,JADE2,ZBTB12,KIAA0930,TMCC2,MARCHF8,ZSCAN20,EPOR,TMEM150A,ZNF143,ARAP1,KAT6A,HSD17B1,EHMT1,KNOP1,KDM6B,GIT1,KLHL21,IKBKB,LRCH4,SRRM2,SH3PXD2B,PHF2,PTPN21,RBM38,SP1,TOP3B,CLIP2,SCRIB,C12ORF60,TBL1X,TAF1C,RFX1,TOB2,USP21,CPT1B,STX10,TWNK,TBC1D2B,RXRA,AEN,RBM17,POLDIP3,TAF3,NEO1,ARHGAP17,ZHX3,ZBTB40,PHETA1,TRPV3,IGF1R,TTLL11,SSH3,OSBPL7,KIF7,VAT1,VASH1,PIAS4,CLCN7,CIC,SNRNP48,IFT140,RGL2,MXI1,DMPK,HAUS5,ZNF438,NCKAP5L,MGAT1,RBM14,AUP1,TRIM8,NINL,NAV1,CREBBP,SETD1A,BICRA,ZNF592,FHL3,PNPT1,PSPH,SCARF2,ABL1,NDOR1,PEAK1,EPN2,MAP3K3,SGPL1,ZNF202,NFYA,CDK11A,MLLT6,FAN1,SPECC1L,BAZ1B,SAP30L,CERS4,KRI1,PAK4,UCK1,CNNM3,NRG2,ATN1,ENAH,JRK,PRKD1,FAM193B,REPIN1,ZFHX2,ARID3B,SLC22A23,ACIN1,DAXX,INSR,USF2,UIMC1,STK38,KHNYN,SMG5,ZNF646,NCOA5,HDGF,RNF114,KMT2B,ELMOD3,AMER1,TRIP4,APC2,TTC28,CRTC2,ANKRD13B,NHEJ1,TXLNA,SETD2,HDAC4,CXXC1,TYK2,PATL1,SAFB2,BCAR1,MICAL3,PLEKHM1,ENTR1,GNG7,TSNARE1,SUPT20H,WDR59,HCFC1,AKT2,ZNF175,ZNF286A,PHRF1,CDK11B,IQCE,UCKL1,RUFY1,GIGYF1,HSF1,BRD3,CACTIN,APBA3,SPOUT1,SKI,PRELID3A,BRD4,NCOR2,MPRIP,BRPF1,SRRT,CHD4,PHKA2,MTMR3,DVL1,RALBP1,ZNF740,ZNF227,SMG6,ZNF672,PHF1,INPP5B,BCORL1,MAPKBP1,TCHP,GOLGA3,FTSJ3,SMAD4,NXF1,EDC3,DVL2,HDAC5,PTPN23,CIZ1,ZNF420,AKT1,GMEB2,KSR1,SNED1,TRMT10B,PHF12,PARP16,RILPL1,ZC3H18,TBC1D1,VGLL4,RAF1,ZNF317,CDAN1,DDX23,PPP4R1,VPS37C,EZH1,CALCOCO1,AVEN,POLG,E2F4,FBH1,TFDP2,U2AF2,UBE2G2,ATXN2L,LMNB2,UBAP1,RERE,OSBPL2,DCAF1,MORC2,ERLIN1,N4BP1,UPF1,YY1,WHAMM,SUPT6H,PHC1,MTERF4,ING5,BSDC1,GTPBP4,TMEM230,SRSF2,ORMDL1,UTP11,MED7,CPSF3,CRYZL1,ARPC2,HSF2,ZNG1C,APMAP,YAE1,ARPC1A,HNRNPA0,DNAAF10,PRKAG1,COG8,EIF3M,PDHB,ACAD9,KRBOX5,PARN,SEC22A,CYB5D2,TXNDC15,NAA20,DNAJC19,MAP3K13,SLC25A17,ORC3,CDC123,PEDS1-UBE2V1,GEMIN2,CAPZA2,CFL1,ENY2,VPS29,PSMD14,COPG1,ZNG1F,RARS1,MAK16,RAB11A,MAIP1,RANBP1,POLR2K,STX12,KPNA2,TRAP1,ACP1,MRPL32,SCFD1,MCTS1,KHDRBS1,SKIC8,POLR3F,COPS3,PDCD6,ANKRD13C,TM2D2,UBE2E3,ADAT2,PPP2R2B,RUSF1,PTS,PSMA1,UBE2V1,FUNDC1,ACTB,SARAF,PDSS1,NFU1,CCDC115,NDUFS1,THOC7,EIF1B,PSPC1,MED10,FUCA1,DOLK,CDC42,MTCH2,SLC25A3,PPCS,BTF3L4,RAB6C,PLPP6,ARL1,SERF1A,C17ORF75,CALM2,NKIRAS1,MPPED2,VAMP4,SMIM14,ANKMY2,TIMM8A,PLEKHB2,STEEP1,MPC2,EBNA1BP2,RTCA,GPHN,PIGBOS1,C4ORF33,TMEM14B,ATP6AP1,ATP5PB,ATP5F1B,BNIP3,SEPTIN6,UQCRC2,CCND2,GLOD4,SLC5A2,ZMAT2,SLC4A1AP,HACL1,ASMTL,PRR13,PGAM1,YAF2,SKP1,BLOC1S6,PSMB2,IMMT,COX18,AAGAB,PPP2CA,CCNC,BRWD1,RINT1,PSMA3,KCNAB1,GTF2H5,LETMD1,PRKAG2,MRPS23,LGMN,ATP5F1A,TRMT11,SNAPC5,RPA3,TUBA1A,TMEM163,MRPS16,PEX11B,FH,IDI1,RRAGB,PARP2,NDN,TTC8,TUBA1C,ACTG1,EIF4E,SDHAF4,DLD,DSTN,MEAF6,PSMA5,PRPF19,CCDC113,ANAPC13,FBXO9,CHP1,COPS7A,RAMAC,NUP93,UCHL5,RWDD2B,ATXN10,ARL6IP1,FAM47E,CCNH,MAGED1,MCM4,ATP5F1C,TIPRL,CKMT2,GHITM,BORCS7,TOMM70,TM2D1,FARSB,BLOC1S2,PRAG1,NAPG,COPS4,GNAL,ERLEC1,TSPAN7,GEN1,UBE2N,GSTA4,CYRIB,BCAT1,PFDN4,LCLAT1,BABAM2,REEP5,TTC19,SPDYE11,SCAMP1,TMX3,CYCS,SPCS1,RPGRIP1L,VDAC1,NDUFC2,SPDYE14,ATP6V0D1,OCIAD1,PGRMC1,TXNDC9,NDUFB5,SPDYE8,FBXL17,SEH1L,SGIP1,CENPH,SPRYD7,CMSS1,SPDYE15,ACP2,FANCD2,AMACR,BEX4,EEF1E1,TMEM17,OLA1,TUBGCP5,TMEM14A,C1D,PPP1R2B,TRAPPC13,ATP5MC3,PIH1D2,GSS,SPDYE3,VRK1,FBXL22,ATP6V1E1,VWC2,ARMCX5,SMYD3,GLMN,BEX3,ZNF449,BZW2,ACSL6,TAF9,KIFAP3,RAB2A,NXPH1,ZNF25,CCDC34,C5ORF22,PAM,ZWINT,YWHAB,SLC26A5,NDFIP2,NDFIP1,CRPPA,ATP6V1H,TCEAL5,ATP6AP2,GNG10,ACTR10,CHCHD6,TOMM20,ZWILCH,EID2,DYNC2LI1,PSMG1,ATP6V1B2,UMAD1,SPA17,GOLT1B,TRAPPC6B,CAMK4,GINS1,MZT1,CDKN3,BCAS2,MYO5B,PCMT1,LRRC8B,NECAP1,GIPC2,TUBB2A,FAM174A,TSNAX,TUBB3,RBM3,SCAI,CDCA5,UBE2V2,GABARAPL1,JAKMIP1,YWHAZ,CALM3,GPRASP1,PPP3R1,BEX2,UBLCP1,MOAP1,HMGCS1,PKIB,SHCBP1,RFK,PPP4R4,CISD1,ZNF441,NHLRC1,NME5,MAD2L1,SLC3A1,SUB1,NDUFA5,EPHA6,CITED2,CORT,GDAP1,FAM3C,PFN2,PTPRO,CDH13,GOLT1A,PPP3CA,ATP6V1G2,TSPYL1,CLMP,AQP12B,CD244,GPRASP2,PPP1R2,TRIM37,SCOC,FRMPD2,SCG5,TASP1,NRIP3,SLC10A4,FGF13,NRXN3,DYNLT3,NPTN,VIP,CLSTN3,GNG2,PAK1,PLK4,FAM81A,NUDT18,NSG1,MDH1,GAP43,NECAB1,PLCB1,NCALD,RNF128,RGS7,NETO1,FBXO16,C8ORF88,EID2B,HUNK,CCDC184,FGF12,ALB,SNX10,FNDC9,CHML,MPO,PTH2R,DAW1,ARL4D,DUSP4,CDH18,DLX1,ENTPD3,CAP2,PRLHR,CLUL1,RAB3B,PKP3,PRMT8,SPHKAP,SNAP25,STAT4,RPH3A,HPRT1,BEX5,BTNL2,SCG2,CCT6B,IQGAP3,SPON2,CDH9,ROBO2,NAP1L5,SLN,ZCCHC12,RGS4,CRYM,TACR1,EGR1,AARD,BDNF,IGF1,CNTN5,CARTPT,SPTSSB,ADRA1D,PPEF1,SOWAHB,CHGB,KRT5,SERTM1,PNOC,NXPH2,GAD1,VGF,MAS1,SST,CTXN3,SV2C,GAD2,ADCYAP1,FLT3,TAC1,CRH,NPAS4,PENK
GO:0005488	binding	0.0017597031406970435	0.0017597031406970435	+1	NPC1L1,HSPA1A,HSPA1B,MMP9,IL7R,CXCR4,ETV4,SHISA3,SGO1,CDC42BPG,RIPOR3,MYOCD,TNFRSF10D,KCNE4,GZMM,FOXC2,ECM2,SLC6A12,SLCO4A1,S100A4,FOXF1,PSPN,SMTN,FOXO4,CLDN15,TCF15,SERPINF2,WNT6,SLC13A4,FUT7,MAFF,SRPX2,GIPR,ZDHHC11,TBX15,TCAP,ADORA2A,REP15,ADRA2B,SNORA64,S1PR4,C21ORF62,ABCC2,TRIP10,TEAD2,NIBAN3,PRELP,KANK2,FZD9,SLC4A11,FANCC,TBX1,DDIT4,SPR,MSX1,CEL,SYTL4,DUSP1,TPPP2,LDLRAP1,RBPMS,ARHGAP11B,C17ORF67,LATS2,KIF1C,ITGA11,RAPGEF3,JADE3,IGF2,ANO2,CEBPD,TBX6,ISYNA1,AKR1C4,MYBPC1,IZUMO1,ANKRD40,RNF152,EZHIP,MID1IP1,LRP4,SMIM3,UCP3,ITPRIP,H2BC5,JMJD6,SAMD4A,SPACA6,SMO,RAI14,ADAM33,KLF2,MAP4K4,NFATC4,PHEX,ITPKB,ARRDC2,MTSS2,CSF1,LMNTD2,MEF2B,PLPP4,SMARCC1,CBX2,RFTN2,ADAMTS7,NKD1,MEX3A,MCM7,CDKN2C,PARD3,CNKSR3,TPD52L1,RCC1,HEY2,QDPR,HIP1,PROSER2,COBL,KIAA1958,TNS1,FAM118A,DNASE1L2,MORC4,FAM107A,WTIP,ARHGEF16,FYCO1,GNRH1,SSC5D,ZNF467,MAFK,RELA,CEBPB,PHF21B,FOXF2,FLT3LG,EVA1B,ITIH2,JDP2,MAPKAPK2,POGK,HMBOX1,SERTAD1,ADRA2C,PCOLCE,DHFR,HSPB2,CASC3,NFKBIA,KLHL17,ZBTB47,CTDSP2,QRICH2,TCF7L1,EDA,CNKSR1,CARHSP1,TJP3,SOX13,DOT1L,NIBAN2,MCM8,CGN,GDF11,CCDC40,NFATC3,LCAT,TEPSIN,CXCR5,HIC1,RBMS2,TNIP2,FAM53B,PHF19,PHF10,LLGL2,KMT5C,PHF21A,ASCL1,ZNF358,CRTAP,CAVIN1,FBXL7,TNFRSF10B,DENND2A,ZNF768,PRSS53,GAS1,PPFIBP2,INPPL1,SZRD1,MXD4,DHX34,GLIS2,MRAS,HEBP2,F10,TMEM216,AXIN1,TRIM56,SLC26A6,SORBS3,ZNF704,SRGAP1,SLC43A1,PLXNB1,PIDD1,CAPN15,WWC3,MICALL2,BMP1,MLYCD,MEX3D,RBM6,EBF4,ZNF618,TAFAZZIN,VEGFB,MARVELD3,TCF3,CTU1,IRAK2,SMAD7,SH2B2,SOX12,SIRT7,RGS3,PAN2,CEP104,HDAC1,FCHSD2,JADE2,ZBTB12,KIAA0930,TMCC2,MARCHF8,ZSCAN20,EPOR,TMEM150A,ZNF143,ARAP1,KAT6A,HSD17B1,EHMT1,KNOP1,KDM6B,GIT1,KLHL21,IKBKB,LRCH4,SRRM2,SH3PXD2B,ZNF853,PHF2,PTPN21,RBM38,SP1,TOP3B,CLIP2,SCRIB,C12ORF60,TBL1X,TAF1C,RFX1,TOB2,USP21,CPT1B,STX10,TWNK,TBC1D2B,RXRA,AEN,RBM17,POLDIP3,TAF3,NEO1,ARHGAP17,ZHX3,ZBTB40,PHETA1,TRPV3,IGF1R,TTLL11,SSH3,OSBPL7,KIF7,VAT1,VASH1,PIAS4,CLCN7,CIC,SNRNP48,IFT140,RGL2,MXI1,ZNF787,TIGD5,DMPK,HAUS5,ZNF438,NCKAP5L,GTPBP6,MGAT1,RBM14,AUP1,TRIM8,NINL,NAV1,CREBBP,SETD1A,BICRA,ZNF592,FHL3,PNPT1,PSPH,SCARF2,ABL1,NDOR1,PEAK1,EPN2,MAP3K3,SGPL1,ZNF202,NFYA,ZNF609,ZNF577,CDK11A,MLLT6,FAN1,SPECC1L,BAZ1B,SAP30L,CERS4,KRI1,PAK4,UCK1,CNNM3,NRG2,ATN1,ENAH,JRK,PRKD1,FAM193B,REPIN1,ZFHX2,ARID3B,METTL16,SLC22A23,ACIN1,DAXX,INSR,USF2,ZBTB46,UIMC1,STK38,KHNYN,SMG5,ZNF646,NCOA5,HDGF,RNF114,KMT2B,ELMOD3,AMER1,TRIP4,APC2,TTC28,CRTC2,ANKRD13B,NHEJ1,ZNF322,ZNF316,TXLNA,SETD2,HDAC4,CXXC1,TYK2,PATL1,SAFB2,BCAR1,MICAL3,PLEKHM1,ENTR1,GNG7,TSNARE1,SUPT20H,WDR59,MTRF1L,HCFC1,AKT2,ZNF175,ZNF286A,PHRF1,CDK11B,IQCE,UCKL1,RUFY1,GIGYF1,HSF1,BRD3,CACTIN,APBA3,SPOUT1,SKI,PRELID3A,BRD4,NCOR2,MPRIP,BRPF1,SRRT,CHD4,PHKA2,MTMR3,DVL1,ZFP62,RALBP1,ZNF740,ZNF227,SMG6,ZNF672,PHF1,INPP5B,FBRSL1,BCORL1,MAPKBP1,TCHP,GOLGA3,FTSJ3,SMAD4,NXF1,EDC3,DVL2,HDAC5,PTPN23,CIZ1,ZNF420,AKT1,GMEB2,KSR1,RBM28,SNED1,TRMT10B,ZNF384,PHF12,PARP16,RILPL1,ZC3H18,PGS1,TBC1D1,UNK,VGLL4,RAF1,ZNF317,CDAN1,DDX23,PPP4R1,VPS37C,EZH1,CALCOCO1,AVEN,POLG,E2F4,FBH1,TFDP2,U2AF2,UBE2G2,ATXN2L,LMNB2,UBAP1,RERE,OSBPL2,DCAF1,RBM19,MORC2,ERLIN1,N4BP1,UPF1,YY1,ZNF74,WHAMM,SUPT6H,PHC1,MTERF4,ING5,BSDC1,GTPBP4,TMEM230,SRSF2,ORMDL1,UTP11,MED7,CPSF3,CRYZL1,ARPC2,HSF2,ZNG1C,APMAP,YAE1,ARPC1A,HNRNPA0,DNAAF10,PRKAG1,COG8,EIF3M,MRPL42,PDHB,ACAD9,KRBOX5,PARN,SEC22A,CYB5D2,TXNDC15,NAA20,DNAJC19,MAP3K13,SLC25A17,SNX14,ORC3,CDC123,PEDS1-UBE2V1,GEMIN2,CAPZA2,CFL1,ENY2,VPS29,PSMD14,COPG1,ZNG1F,RARS1,MAK16,RAB11A,MAIP1,RANBP1,POLR2K,STX12,KPNA2,TRAP1,ACP1,MRPL32,SCFD1,MCTS1,KHDRBS1,SKIC8,POLR3F,COPS3,PDCD6,ANKRD13C,TM2D2,DCTN6,UBE2E3,ADAT2,PPP2R2B,RUSF1,PTS,PSMA1,UBE2V1,FUNDC1,ACTB,SARAF,PDSS1,NFU1,CCDC115,NDUFS1,THOC7,EIF1B,PSPC1,MED10,FUCA1,DOLK,CDC42,MTCH2,SLC25A3,PPCS,BTF3L4,RAB6C,PLPP6,ARL1,SERF1A,C17ORF75,CALM2,NKIRAS1,MPPED2,VAMP4,SMIM14,ANKMY2,TIMM8A,MRPL37,PLEKHB2,STEEP1,MPC2,EBNA1BP2,RTCA,GPHN,PIGBOS1,C4ORF33,TMEM14B,ATP6AP1,ATP5PB,ATP5F1B,BNIP3,SEPTIN6,UQCRC2,CCND2,GLOD4,SLC5A2,ZMAT2,SLC4A1AP,HACL1,ASMTL,PRR13,PGAM1,YAF2,SKP1,BLOC1S6,PSMB2,IMMT,COX18,AAGAB,PPP2CA,CCNC,BRWD1,RINT1,PSMA3,KCNAB1,GTF2H5,LETMD1,PRKAG2,MRPS23,LGMN,ATP5F1A,TRMT11,SNAPC5,RPA3,TUBA1A,TMEM163,MRPS16,PEX11B,FH,IDI1,RRAGB,PARP2,NDN,TTC8,TUBA1C,ACTG1,EIF4E,SDHAF4,DLD,DSTN,MEAF6,PSMA5,PRPF19,CCDC113,ANAPC13,FBXO9,CHP1,COPS7A,RAMAC,NUP93,UCHL5,RWDD2B,ATXN10,AMY2A,ARL6IP1,FAM47E,CCNH,MAGED1,MCM4,ATP5F1C,TIPRL,CKMT2,GHITM,BORCS7,TOMM70,TM2D1,FARSB,BLOC1S2,PRAG1,NAPG,COPS4,GNAL,ERLEC1,TSPAN7,GEN1,UBE2N,GSTA4,CYRIB,BCAT1,PFDN4,LCLAT1,BABAM2,REEP5,TTC19,SPDYE11,SCAMP1,TMX3,CYCS,SPCS1,RPGRIP1L,VDAC1,NDUFC2,SPDYE14,ATP6V0D1,OCIAD1,PGRMC1,MDH2,TXNDC9,NDUFB5,SPDYE8,KYAT3,DTD1,FBXL17,SEH1L,SGIP1,CENPH,SPRYD7,CMSS1,SPDYE15,ACP2,FANCD2,AMACR,BEX4,EEF1E1,TMEM17,OLA1,TUBGCP5,TMEM14A,C1D,PPP1R2B,TRAPPC13,ATP5MC3,PIH1D2,GSS,SPDYE3,VRK1,FBXL22,ATP6V1E1,VWC2,ARMCX5,SMYD3,GLMN,BEX3,ZNF449,BZW2,ACSL6,TAF9,KIFAP3,RAB2A,NXPH1,ZNF25,CCDC34,C5ORF22,PAM,ZWINT,YWHAB,SLC26A5,NDFIP2,NDFIP1,CRPPA,ATP6V1H,TCEAL5,ATP6AP2,GNG10,ACTR10,CHCHD6,TOMM20,ZWILCH,EID2,DYNC2LI1,PSMG1,ATP6V1B2,UMAD1,SPA17,GOLT1B,TRAPPC6B,CAMK4,GINS1,MZT1,CDKN3,BCAS2,MYO5B,TRUB1,PCMT1,LRRC8B,NECAP1,GIPC2,TUBB2A,FAM174A,TSNAX,TUBB3,RBM3,SCAI,CDCA5,UBE2V2,GABARAPL1,JAKMIP1,YWHAZ,CALM3,GPRASP1,PPP3R1,BEX2,UBLCP1,MOAP1,HMGCS1,PKIB,SHCBP1,RFK,PPP4R4,MAEL,CISD1,ZNF441,NHLRC1,NME5,MAD2L1,SLC3A1,SUB1,NDUFA5,PXDNL,EPHA6,ZNF385D,TARBP1,CITED2,CORT,GDAP1,FAM3C,PFN2,PTPRO,CDH13,GOLT1A,PPP3CA,ATP6V1G2,TSPYL1,CLMP,AQP12B,CD244,GPRASP2,PPP1R2,TRIM37,SCOC,FRMPD2,SCG5,TASP1,NRIP3,SLC10A4,FGF13,NRXN3,DYNLT3,NPTN,VIP,SIDT1,CLSTN3,GNG2,PAK1,PLK4,FAM81A,NUDT18,NSG1,MDH1,GAP43,NECAB1,PLCB1,NCALD,RNF128,RGS7,HMGCLL1,NETO1,FBXO16,C8ORF88,EID2B,HUNK,CCDC184,FGF12,ALB,SNX10,FNDC9,CHML,MPO,PTH2R,DAW1,ARL4D,DUSP4,CDH18,DLX1,ENTPD3,CAP2,PRLHR,MCHR1,CLUL1,RAB3B,PKP3,PRMT8,SPHKAP,SNAP25,STAT4,RPH3A,HPRT1,BEX5,BTNL2,SCG2,CCT6B,IQGAP3,SPON2,CDH9,ROBO2,NAP1L5,SLN,SP9,ZCCHC12,RGS4,CRYM,TACR1,EGR1,AARD,BDNF,IGF1,CNTN5,NEUROD6,CARTPT,SPTSSB,ADRA1D,COL25A1,PPEF1,SOWAHB,CHGB,KRT5,SERTM1,EGR3,PNOC,NXPH2,GAD1,VGF,MAS1,SST,CTXN3,SV2C,GAD2,ADCYAP1,ADAD2,FLT3,TAC1,CRH,NPAS4,PENK
GO:0140993	histone modifying activity	0.014701591263445895	0.014701591263445895	+1	JMJD6,DOT1L,PHF10,KMT5C,HDAC1,JADE2,KAT6A,EHMT1,KDM6B,PHF2,CREBBP,SETD1A,BAZ1B,KMT2B,SETD2,BRPF1,EZH1,DCAF1,MEAF6,VRK1,SMYD3,TAF9,TRIM37,PRMT8
GO:0030674	protein-macromolecule adaptor activity	0.014701591263445895	0.014701591263445895	+1	HSPA1A,MYOCD,ZDHHC11,TCAP,LDLRAP1,RBPMS,SMARCC1,HIP1,WTIP,CNKSR1,DOT1L,NIBAN2,PHF10,ANKRD9,AXIN1,IRAK2,SMAD7,SH2B2,HDAC1,KAT6A,PHF2,SCRIB,TBL1X,TOB2,USP21,STX10,PIAS4,RBM14,TRIM8,CREBBP,FHL3,ABL1,FAN1,SAP30L,ATN1,ZSWIM8,DAXX,UIMC1,NCOA5,HDGF,TRIP4,ANKRD13B,TSNARE1,SUPT20H,WDR59,HCFC1,BRD3,BRD4,NCOR2,SRRT,CHD4,BCORL1,KSR1,PHF12,ZC3H18,EZH1,CALCOCO1,RERE,DCAF1,SRSF2,MED7,SEC22A,ENY2,STX12,KHDRBS1,PDCD6,MED10,STEEP1,YAF2,SKP1,FBXO9,NAPG,TAF9,EID2,SCAI,SUB1,CITED2,TRIM37,EID2B,DAW1,SNAP25,CRYM
GO:0003712	transcription coregulator activity	0.014701591263445895	0.014701591263445895	+1	HSPA1A,MYOCD,RBPMS,SMARCC1,WTIP,DOT1L,NIBAN2,PHF10,SMAD7,HDAC1,KAT6A,PHF2,TBL1X,TOB2,USP21,PIAS4,RBM14,TRIM8,CREBBP,FHL3,ABL1,SAP30L,ATN1,DAXX,NCOA5,HDGF,TRIP4,SUPT20H,HCFC1,BRD4,NCOR2,CHD4,BCORL1,PHF12,EZH1,CALCOCO1,RERE,SRSF2,MED7,ENY2,MED10,YAF2,TAF9,EID2,SCAI,SUB1,CITED2,TRIM37,EID2B,CRYM
GO:0060090	molecular adaptor activity	0.030825697314776697	0.030825697314776697	+1	HSPA1A,MYOCD,ZDHHC11,TCAP,LDLRAP1,RBPMS,SMARCC1,HIP1,WTIP,KLHL17,CNKSR1,DOT1L,NIBAN2,PHF10,ANKRD9,AXIN1,WWC3,IRAK2,SMAD7,SH2B2,HDAC1,KAT6A,PHF2,SP1,SCRIB,TBL1X,TOB2,USP21,STX10,PIAS4,RBM14,TRIM8,CREBBP,FHL3,ABL1,FAN1,SAP30L,ATN1,ZSWIM8,DAXX,UIMC1,NCOA5,HDGF,TRIP4,ANKRD13B,HDAC4,MICAL3,TSNARE1,SUPT20H,WDR59,HCFC1,BRD3,BRD4,NCOR2,SRRT,CHD4,BCORL1,KSR1,PHF12,ZC3H18,EZH1,CALCOCO1,RERE,DCAF1,SRSF2,MED7,SEC22A,ENY2,STX12,KHDRBS1,PDCD6,MED10,STEEP1,SEPTIN6,YAF2,SKP1,FBXO9,TOMM70,NAPG,TAF9,EID2,PSMG1,SCAI,SUB1,CITED2,TRIM37,EID2B,DAW1,SNAP25,CRYM
GO:0030060	L-malate dehydrogenase (NAD+) activity	0.035648669038346015	0.035648669038346015	+1	MDH2,MDH1B,MDH1
GO:0003714	transcription corepressor activity	0.035648669038346015	0.035648669038346015	+1	HSPA1A,WTIP,SMAD7,HDAC1,TBL1X,TOB2,CREBBP,ATN1,DAXX,NCOA5,HDGF,NCOR2,CHD4,BCORL1,PHF12,EZH1,RERE,SRSF2,YAF2,EID2,SCAI,CITED2,EID2B,CRYM
GO:1901873	regulation of post-translational protein modification	0.0007955828182172799	0.0007955828182172799	+1	HSPA1A,HSPA1B,FAM107A,FOXF2,CRTAP,AXIN1,SMAD7,SIRT7,PIAS4,ABL1,DAXX,AMER1,HDAC4,AKT1,U2AF2,N4BP1,GTPBP4,COPS3,PDCD6,UBE2V1,SKP1,CHP1,COPS7A,COPS4,UBE2N,BEX4,BEX3,NDFIP2,NDFIP1,UBE2V2,BEX2,MAD2L1,EGR1
GO:1903320	regulation of protein modification by small protein conjugation or removal	0.0008982703745305033	0.0008982703745305033	+1	HSPA1A,HSPA1B,FAM107A,FOXF2,AXIN1,SMAD7,SIRT7,PIAS4,ABL1,DAXX,AMER1,HDAC4,AKT1,U2AF2,N4BP1,GTPBP4,COPS3,PDCD6,UBE2V1,SKP1,CHP1,COPS7A,COPS4,UBE2N,BEX4,BEX3,NDFIP2,NDFIP1,UBE2V2,BEX2,MAD2L1,EGR1
